Anaesthesia
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
13131,ANAE,301,001,Field Course (GDEU),2.000,"Anesthesia - Transition to Clinical Practice.",TBA,TBA,235,0,0,0,TBA,12/29-05/03,TBA,Active
Elective
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
13680,ELEC,400,001,Field Course (GDEU),4.000,"Elective 1 - Clerkships.",TBA,TBA,0,0,0,0,TBA,11/17-03/08,TBA,Active
13610,ELEC,403,001,Field Course (GDEU),3.000,"Elective 3 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,11/17-04/26,TBA,Active
13613,ELEC,404,001,Field Course (GDEU),3.000,"Elective 4 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,11/17-04/26,TBA,Active
13614,ELEC,405,001,Field Course (GDEU),3.000,"Elective 5 - Senior Clerkships.",TBA,TBA,200,0,0,0,TBA,11/17-04/26,TBA,Active
Epidemiology & Biostatistics
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
12499,EPIB,501,001,Lecture,3.000,"Population Health and Epidemiology.",TW,03:35 PM-04:55 PM,25,0,0,0,"Jean-Francois  Boivin",01/05-04/14,TBA,Active
7312,EPIB,527,001,Lecture,3.000,"Economics for Health Services Research and Policy.",TR,11:35 AM-12:55 PM,15,0,0,0,"Erin C Strumpf",01/05-04/14,PURVIS 25,Active
14689,EPIB,529,001,Lecture,3.000,"Global Environmental Health and Burden of Disease.",MW,11:35 AM-12:55 PM,25,0,0,0,"Jill  Baumgartner",01/05-04/14,PURVIS 25,Active
13732,EPIB,591,001,Lecture,3.000,"Special Topics in Epidemiology.",TR,02:35 PM-03:55 PM,25,0,0,0,"Antonio  Ciampi",01/05-04/14,PURVIS 25,Active
External
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
2339,EXTL,EXMD,015,Exchange Term Away,0.000,"Exchange Term away-Medicine",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2468,EXTL,IUMD,001,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2469,EXTL,IUMD,002,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
2470,EXTL,IUMD,003,Inter-University Transfer Crse,0.000,"Inter-University Transfer",TBA,TBA,100,0,0,0,TBA,01/05-04/14,TBA,Active
